NodeID	NodeLat	NodeLon	Heading	FromWay	PrevNodeID	ToWay	NextNodeID	TurnType	Allowed	ViaNodeID	ViaWayID	SignInfo	BingUrl	TurnImage	Filter
84028240	41.1890814	-73.1999413	43.438	10180981	3931472629	678534331	3931472632	Left	False			{'fromWayImg': {'bubbleID': '61503306201', 'objects': [{'score': 195.0, 'category': 'p23', 'bbox': {'ymax': 907.0, 'ymin': 874.0, 'xmin': 848.5, 'xmax': 883.0}}], 'annotationFile': 'Connecticut-latest-80-0.osm-0.zip.out.zip'}, 'toWayImg': {'bubbleID': '61503306910'}}	https://www.bing.com/maps?osid=b605d8d8-c0d0-4e75-a326-671a6e21dd00&cp=41.1890814~-73.1999413&&lvl=19&dir=40.987059306690388&pi=-1.905&style=x&mo=z.0	http://dev.virtualearth.net/REST/V1/Imagery/Map/Road/41.1890814,-73.1999413/18?pp=41.1890109,-73.2000227;66;1&pp=41.1890814,-73.1999413;64;2&pp=41.1891487,-73.2000537;66;3&dc=l,64009900,10;41.1890109,-73.2000227_41.1890814,-73.1999413_41.1891487,-73.2000537&key=AmPI5RzLRl3rOZ97jXIIDisOcMihuUvMJFb2VY4URfz8_G52cO3a9avqAfVSXTGh	
178516582	41.3489235	-72.8689508	238.251	39434313	252660867	289132611	252660726	Right	False			{'fromWayImg': {'bubbleID': '84405254601', 'objects': [{'bbox': {'xmax': 1565.0, 'ymin': 1060.5, 'xmin': 1509.5, 'ymax': 1111.0}, 'category': 'p19', 'score': 665.0}], 'annotationFile': 'connecticut-latest-3647.osm-0.zip.out.zip'}, 'toWayImg': {'bubbleID': '86011915403', 'objects': [], 'annotationFile': 'connecticut-latest-3648.osm-0.zip.out.zip'}}	https://www.bing.com/maps?osid=b605d8d8-c0d0-4e75-a326-671a6e21dd00&cp=41.3489235~-72.8689508&&lvl=19&dir=240.4235152562022888&pi=-1.905&style=x&mo=z.0	http://dev.virtualearth.net/REST/V1/Imagery/Map/Road/41.3489235,-72.8689508/18?pp=41.3490684,-72.8686107;66;1&pp=41.3489235,-72.8689508;64;2&pp=41.3491284,-72.8690403;66;3&dc=l,64009900,10;41.3490684,-72.8686107_41.3489235,-72.8689508_41.3491284,-72.8690403&key=AmPI5RzLRl3rOZ97jXIIDisOcMihuUvMJFb2VY4URfz8_G52cO3a9avqAfVSXTGh	
364111718	41.8177506	-72.7142262	107.055	657687567	2575940152	657687563	2575940154	UTurn	False	365299682	657687525	{'fromWayImg': {'bubbleID': '59872652101', 'objects': [{'category': 'p5', 'score': 1044.0, 'bbox': {'xmax': 195.5, 'ymax': 1138.5, 'xmin': 125.0, 'ymin': 1074.0}}], 'annotationFile': 'connecticut-latest-4740.osm-0.zip.out.zip'}}	https://www.bing.com/maps?osid=b605d8d8-c0d0-4e75-a326-671a6e21dd00&cp=41.8177506~-72.7142262&&lvl=19&dir=107.9541582142313188&pi=-1.905&style=x&mo=z.0	http://dev.virtualearth.net/REST/V1/Imagery/Map/Road/41.8177506,-72.7142262/18?pp=41.8179139,-72.7149024;66;1&pp=41.8177506,-72.7142262;64;2&pp=41.817888,-72.7141595;66;3&pp=41.8180423,-72.7148459;66;4&dc=l,64009900,10;41.8179139,-72.7149024_41.8177506,-72.7142262_41.817888,-72.7141595_41.8180423,-72.7148459&key=AmPI5RzLRl3rOZ97jXIIDisOcMihuUvMJFb2VY4URfz8_G52cO3a9avqAfVSXTGh	
2520337511	41.403425	-72.105781	8.288	209240403	2291479139	17163108	2520337512	Left	False			{'fromWayImg': {'bubbleID': '88248877101', 'objects': [{'category': 'p23', 'bbox': {'ymin': 937.5, 'xmin': 497.0, 'ymax': 970.5, 'xmax': 527.5}, 'score': 131.0}], 'annotationFile': 'connecticut-latest-5493.osm-0.zip.out.zip'}, 'toWayImg': {'bubbleID': '88248916810'}}	https://www.bing.com/maps?osid=b605d8d8-c0d0-4e75-a326-671a6e21dd00&cp=41.403425~-72.105781&&lvl=19&dir=359.5130874842400388&pi=-1.905&style=x&mo=z.0	http://dev.virtualearth.net/REST/V1/Imagery/Map/Road/41.403425,-72.105781/18?pp=41.4029837,-72.105776;66;1&pp=41.403425,-72.105781;64;2&pp=41.4034671,-72.1059097;66;3&dc=l,64009900,10;41.4029837,-72.105776_41.403425,-72.105781_41.4034671,-72.1059097&key=AmPI5RzLRl3rOZ97jXIIDisOcMihuUvMJFb2VY4URfz8_G52cO3a9avqAfVSXTGh	
178245737	41.3451821	-72.07419	94.035	17166838	178289061	659809650	178245346	Left	False			{'fromWayImg': {'bubbleID': '88252792201', 'objects': [{'category': 'pst', 'bbox': {'ymin': 1019.5, 'xmin': 1158.0, 'ymax': 1063.0, 'xmax': 1199.0}, 'score': 327.0}, {'category': 'p23', 'bbox': {'ymin': 987.0, 'xmin': 1162.5, 'ymax': 1020.0, 'xmax': 1194.5}, 'score': 165.0}], 'annotationFile': 'connecticut-latest-1409.osm-0.zip.out.zip'}, 'toWayImg': {'bubbleID': '88252776201'}}	https://www.bing.com/maps?osid=b605d8d8-c0d0-4e75-a326-671a6e21dd00&cp=41.3451821~-72.07419&&lvl=19&dir=93.1846780678680588&pi=-1.905&style=x&mo=z.0	http://dev.virtualearth.net/REST/V1/Imagery/Map/Road/41.3451821,-72.07419/18?pp=41.3452677,-72.0762388;66;1&pp=41.3451821,-72.07419;64;2&pp=41.3454635,-72.0744266;66;3&dc=l,64009900,10;41.3452677,-72.0762388_41.3451821,-72.07419_41.3454635,-72.0744266&key=AmPI5RzLRl3rOZ97jXIIDisOcMihuUvMJFb2VY4URfz8_G52cO3a9avqAfVSXTGh	
83926378	41.0409745	-73.5423757	356.642	414261035	4154309673	186836654	4154309684	Left	False			{'fromWayImg': {'bubbleID': '61442276503', 'objects': [{'bbox': {'ymax': 1012.0, 'ymin': 971.0, 'xmin': 955.0, 'xmax': 979.0}, 'category': 'p23', 'score': 90.0}], 'annotationFile': 'connecticut-latest-178.osm-0.zip.out.zip'}, 'toWayImg': {'bubbleID': '61442276001', 'objects': [{'bbox': {'ymax': 1072.0, 'ymin': 1040.5, 'xmin': 1338.5, 'xmax': 1370.5}, 'category': 'pne', 'score': 222.0}], 'annotationFile': 'connecticut-latest-178.osm-0.zip.out.zip'}}	https://www.bing.com/maps?osid=b605d8d8-c0d0-4e75-a326-671a6e21dd00&cp=41.0409745~-73.5423757&&lvl=19&dir=167.4878747969222688&pi=-1.905&style=x&mo=z.0	http://dev.virtualearth.net/REST/V1/Imagery/Map/Road/41.0409745,-73.5423757/18?pp=41.0410836,-73.5424078;66;1&pp=41.0409745,-73.5423757;64;2&pp=41.0410115,-73.542295;66;3&dc=l,64009900,10;41.0410836,-73.5424078_41.0409745,-73.5423757_41.0410115,-73.542295&key=AmPI5RzLRl3rOZ97jXIIDisOcMihuUvMJFb2VY4URfz8_G52cO3a9avqAfVSXTGh	
83953516	41.1792394	-73.1894367	257.635	10169925	4013793871	659214168	4013793866	Left	False			{'fromWayImg': {'bubbleID': '61507551201', 'objects': [{'category': 'p23', 'bbox': {'xmin': 1243.5, 'xmax': 1291.0, 'ymax': 1080.5, 'ymin': 1033.5}, 'score': 491.0}], 'annotationFile': 'connecticut-latest-440.osm-0.zip.out.zip'}, 'toWayImg': {'bubbleID': '61542679702', 'objects': [{'category': 'p23', 'bbox': {'xmin': 201.0, 'xmax': 264.0, 'ymax': 1152.0, 'ymin': 1068.0}, 'score': 290.0}, {'category': 'p23', 'bbox': {'xmin': 1602.0, 'xmax': 1655.0, 'ymax': 1101.0, 'ymin': 1043.0}, 'score': 133.0}], 'annotationFile': 'connecticut-latest-440.osm-0.zip.out.zip'}}	https://www.bing.com/maps?osid=b605d8d8-c0d0-4e75-a326-671a6e21dd00&cp=41.1792394~-73.1894367&&lvl=19&dir=255.8270712473571488&pi=-1.905&style=x&mo=z.0	http://dev.virtualearth.net/REST/V1/Imagery/Map/Road/41.1792394,-73.1894367/18?pp=41.1792551,-73.1893541;66;1&pp=41.1792394,-73.1894367;64;2&pp=41.1791784,-73.1894215;66;3&dc=l,64009900,10;41.1792551,-73.1893541_41.1792394,-73.1894367_41.1791784,-73.1894215&key=AmPI5RzLRl3rOZ97jXIIDisOcMihuUvMJFb2VY4URfz8_G52cO3a9avqAfVSXTGh	
2172650349	41.4138588	-72.9020644	79.578	17217112	178565875	121983847	6857330986	Left	False			{'fromWayImg': {'bubbleID': '84330440603', 'objects': [{'category': 'pst', 'score': 379.0, 'bbox': {'xmin': 1575.0, 'ymin': 948.0, 'ymax': 1028.0, 'xmax': 1662.0}}, {'category': 'p23', 'score': 907.0, 'bbox': {'xmin': 1581.5, 'ymin': 1031.5, 'ymax': 1096.0, 'xmax': 1649.0}}], 'annotationFile': 'connecticut-latest-5277.osm-0.zip.out.zip'}, 'toWayImg': {'bubbleID': '84329782801'}}	https://www.bing.com/maps?osid=b605d8d8-c0d0-4e75-a326-671a6e21dd00&cp=41.4138588~-72.9020644&&lvl=19&dir=258.3272678963623488&pi=-1.905&style=x&mo=z.0	http://dev.virtualearth.net/REST/V1/Imagery/Map/Road/41.4138588,-72.9020644/18?pp=41.4140125,-72.9010724;66;1&pp=41.4138588,-72.9020644;64;2&pp=41.4123841,-72.9015112;66;3&dc=l,64009900,10;41.4140125,-72.9010724_41.4138588,-72.9020644_41.4123841,-72.9015112&key=AmPI5RzLRl3rOZ97jXIIDisOcMihuUvMJFb2VY4URfz8_G52cO3a9avqAfVSXTGh	
178374923	41.785732	-72.7475067	95.922	658614639	178348306	333622578	3407407509	UTurn	False			{'fromWayImg': {'bubbleID': '59872453803', 'objects': [{'category': 'p5', 'score': 157.0, 'bbox': {'xmin': 389.0, 'ymax': 1030.0, 'ymin': 999.5, 'xmax': 418.0}}], 'annotationFile': 'connecticut-latest-4827.osm-0.zip.out.zip'}, 'toWayImg': {'bubbleID': '59872453601', 'objects': [{'category': 'p23', 'score': 66.0, 'bbox': {'xmin': 593.0, 'ymax': 929.5, 'ymin': 896.5, 'xmax': 619.0}}], 'annotationFile': 'connecticut-latest-4827.osm-0.zip.out.zip'}}	https://www.bing.com/maps?osid=b605d8d8-c0d0-4e75-a326-671a6e21dd00&cp=41.785732~-72.7475067&&lvl=19&dir=262.857339237851688&pi=-1.905&style=x&mo=z.0	http://dev.virtualearth.net/REST/V1/Imagery/Map/Road/41.785732,-72.7475067/18?pp=41.7857716,-72.7470829;66;1&pp=41.785732,-72.7475067;64;2&pp=41.7856854,-72.7473529;66;3&dc=l,64009900,10;41.7857716,-72.7470829_41.785732,-72.7475067_41.7856854,-72.7473529&key=AmPI5RzLRl3rOZ97jXIIDisOcMihuUvMJFb2VY4URfz8_G52cO3a9avqAfVSXTGh	
178374923	41.785732	-72.7475067	95.922	658614639	178348306	658614639	178348306	UTurn	False			{'fromWayImg': {'bubbleID': '59872453803', 'objects': [{'category': 'p5', 'score': 157.0, 'bbox': {'xmin': 389.0, 'ymax': 1030.0, 'ymin': 999.5, 'xmax': 418.0}}], 'annotationFile': 'connecticut-latest-4827.osm-0.zip.out.zip'}, 'toWayImg': {'bubbleID': '59872453301', 'objects': [{'category': 'pst', 'score': 143.0, 'bbox': {'xmin': 1138.0, 'ymax': 1068.0, 'ymin': 1032.5, 'xmax': 1155.5}}, {'category': 'pne', 'score': 74.0, 'bbox': {'xmin': 1489.5, 'ymax': 1031.0, 'ymin': 1006.0, 'xmax': 1504.5}}], 'annotationFile': 'connecticut-latest-4827.osm-0.zip.out.zip'}}	https://www.bing.com/maps?osid=b605d8d8-c0d0-4e75-a326-671a6e21dd00&cp=41.785732~-72.7475067&&lvl=19&dir=262.857339237851688&pi=-1.905&style=x&mo=z.0	http://dev.virtualearth.net/REST/V1/Imagery/Map/Road/41.785732,-72.7475067/18?pp=41.7857716,-72.7470829;66;1&pp=41.785732,-72.7475067;64;2&pp=41.7857716,-72.7470829;66;3&dc=l,64009900,10;41.7857716,-72.7470829_41.785732,-72.7475067_41.7857716,-72.7470829&key=AmPI5RzLRl3rOZ97jXIIDisOcMihuUvMJFb2VY4URfz8_G52cO3a9avqAfVSXTGh	
